source,order,family,genus,specificEp,yearpub,PUBL,year,month,ANA,BAR,CAT,CLE,CRU,MIG,NIC,ROS
lit,Coleoptera,Melyridae,Attalus,transmarinus,1898,Can. Ent.,,,,,,x,,,,
lit,Coleoptera,Melyridae,Attalus,transmarinus,1901,Calif. Acad. Sci. Occ. Pap.,,,,,,x,,,,
lit,Coleoptera,Melyridae,Attalus,transmarinus,1914,Trans. Ent. Soc. Lond.,,,,,,x,,,,
lit,Coleoptera,Melyridae,Collops,cribrosus,1897,Can. Ent.,,,,,,,,,,x
lit,Coleoptera,Melyridae,Collops,crusoe,1910,Trans. Amer. Ent. Soc.,,,,,,,,,x,
lit,Coleoptera,Melyridae,Collops,crusoe,1912,J. New York Ent. Soc.,,,,,,,,,x,
lit,Coleoptera,Melyridae,Collops,crusoe,1940,Proc. Sixth Pac. Sci. Cong.,,,,,,,,,x,
lit,Coleoptera,Melyridae,Dasytastes,catalinae,1866,Proc. Acad. Nat. Sci. Phil.,,,,,x,,,,,
lit,Coleoptera,Melyridae,Dasytastes,catalinae,1895,Ann. N. Y. Acad. Sci.,,,,,x,,,,,
lit,Coleoptera,Melyridae,Dasytastes,catalinae,1901,Calif. Acad. Sci. Occ. Pap.,,7,,,x,,,,,
lit,Coleoptera,Melyridae,Dasytastes,insularis,1897,Can. Ent.,,,,,x,,,,,
lit,Coleoptera,Melyridae,Dasytastes,insularis,1901,Calif. Acad. Sci. Occ. Pap.,,8,,,x,,,,,
lit,Coleoptera,Melyridae,Dasytastes,insularis,1901,Calif. Acad. Sci. Occ. Pap.,,,,,x,,,,,
lit,Coleoptera,Melyridae,Dasytes,clementae,1897,Can. Ent.,,,,,,x,,,,
lit,Coleoptera,Melyridae,Dasytes,clementae,1901,Calif. Acad. Sci. Occ. Pap.,,,,,,x,,,,
lit,Coleoptera,Melyridae,Dasytes,clementae,1901,Calif. Acad. Sci. Occ. Pap.,,,,,,x,,,,
lit,Coleoptera,Melyridae,Dasytes,clementae,1921,Stan. Univ. Pub. Biol.,,,,,,x,,,,
