Genus,AcceptedName,APGFamily
Alhagi,Alhagi maurorum Medik.,Fabaceae
Alhagi,Alhagi maurorum Medik.,Fabaceae
Aliciella,Aliciella latifolia (S. Watson) J. M. Porter,Polemoniaceae
Aliciella,Aliciella ripleyi (Barneby) J. M. Porter,Polemoniaceae
Aliciella,Aliciella subacaulis (Rydberg) J. M. Porter & L A. Johnson not in CA,Polemoniaceae
Aliciella,Aliciella latifolia (S. Watson) J. M. Porter subsp. latifolia,Polemoniaceae
Aliciella,Aliciella hutchinsifolia (Rydberg) J. M. Porter,Polemoniaceae
Aliciella,Aliciella leptomeria (A. Gray) J. M. Porter,Polemoniaceae
Aliciella,Aliciella lottiae (A. G. Day) J. M. Porter,Polemoniaceae
Aliciella,Aliciella micromeria (A. Gray) J. M. Porter,Polemoniaceae
Aliciella,Aliciella monoensis J.M. Porter,Polemoniaceae
Aliciella,Aliciella humillima (Brand) J.M. Porter,Polemoniaceae
Alisma,Alisma triviale Pursh,Alismataceae
Alisma,Alisma gramineum Lej.,Alismataceae
Alisma,Alisma lanceolatum Withering,Alismataceae
Alisma,Alisma triviale Pursh,Alismataceae
Allenrolfea,Allenrolfea occidentalis (S. Watson) Kuntze,Amaranthaceae
Allionia,Allionia incarnata L. var. incarnata,Nyctaginaceae
Allionia,Allionia incarnata L.,Nyctaginaceae
Allionia,Mirabilis nyctaginea (Michaux) MacM.,Nyctaginaceae
Allionia,Mirabilis linearis (Pursh) Heimerl var. linearis,Nyctaginaceae
Allionia,Mirabilis albida (Walt.) Heimerl,Nyctaginaceae
Allionia,Mirabilis albida (Walt.) Heimerl,Nyctaginaceae
Allionia,Mirabilis albida (Walter) Heimerl,Nyctaginaceae
Allionia,Allionia incarnata L. var. villosa (Standley) B.L. Turner,Nyctaginaceae
Allium,Allium ampeloprasum L.,Alliaceae
Allium,Allium marvinii Davidson,Alliaceae
Allium,Allium anceps Kellogg,Alliaceae
Allium,Allium abramsii (Traub) McNeal,Alliaceae
Allium,Allium peninsulare Greene var. peninsulare,Alliaceae
Allium,Allium peninsulare Greene var. franciscanum McNeal & Ownbey,Alliaceae
Allium,Allium peninsulare Greene,Alliaceae
Allium,Allium parvum Kellogg,Alliaceae
Allium,Allium parryi S. Watson,Alliaceae
Allium,Allium parryi S. Watson,Alliaceae
Allium,Allium parishii S. Watson,Alliaceae
Allium,Allium paniculatum L. var. paniculatum,Alliaceae
Allium,Allium praecox Brandegee,Alliaceae
Allium,Allium obtusum J.G. Lemmon var. obtusum,Alliaceae
Allium,Allium punctum L. F. Henderson,Alliaceae
Allium,Allium atrorubens S. Watson,Alliaceae
Allium,Allium atrorubens S. Watson var. atrorubens,Alliaceae
Allium,Allium atrorubens S. Watson var. cristatum (S. Watson) McNeal,Alliaceae
Allium,Allium atrorubens S. Watson var. cristatum (S. Watson) McNeal,Alliaceae
Allium,Allium bisceptrum S. Watson,Alliaceae
Allium,Allium bolanderi S. Watson,Alliaceae
