source,order,family,genus,subgenus,specificEp,scientificName,yearpub,PUBL,year,month,Anacapa,Santa Barbara,Santa Catalina,San Clemente,Santa Cruz,San Miguel,San Nicholas,Santa Rosa 
lit,Hymenoptera,Anthophoridae,Exomalopsis,(Anthophor.),nitens,Exomalopsis nitens,1940,Proc. Sixth Pac. Sci. Cong.,,,,,1,,,,,
lit,Hymenoptera,Anthophoridae,Exomalopsis,(Anthophor.),nitens,Exomalopsis nitens,1985,Ent. Calif. Ch. Isls. Proc.,,,,,1,,,,,
lit,Hymenoptera,Anthophoridae,Habropoda,,depressa,Habropoda depressa,1899,Can. Ent.,,,,,1,,,,,
lit,Hymenoptera,Anthophoridae,Habropoda,,depressa,Habropoda depressa,1902,Rep. Agr. Exp. Sta. Univ. Cal,1898,6,,,1,,,,,
lit,Hymenoptera,Anthophoridae,Habropoda,,depressa,Habropoda depressa,1939,Proc. Calif. Acad. Sci. ser.4,,,,,1,,,,,
lit,Hymenoptera,Anthophoridae,Habropoda,,depressa,Habropoda depressa,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,,,,
lit,Hymenoptera,Anthophoridae,Habropoda,,miserabilis,Habropoda miserabilis,1938,Ann. & Mag. Nat. Hist.,1938,5,,,,,,1,,
lit,Hymenoptera,Anthophoridae,Habropoda,,miserabilis,Habropoda miserabilis,1939,Proc. Calif. Acad. Sci. ser.4,,,,,,,,1,,
lit,Hymenoptera,Anthophoridae,Habropoda,,miserabilis,Habropoda miserabilis,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,,1,,
lit,Hymenoptera,Anthophoridae,Habropoda,,,,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,1,,,,
lit,Hymenoptera,Anthophoridae,Hypochrotaenia,,formula,Hypochrotaenia formula,1939,Bull. S. Calif. Acad. Sci.,1939,8,,,,,,1,,1
lit,Hymenoptera,Anthophoridae,Hypochrotaenia,,formula,Hypochrotaenia formula,1939,Proc. Calif. Acad. Sci. ser.4,,,,,1,,,,,
lit,Hymenoptera,Anthophoridae,Hypochrotaenia,,formula,Hypochrotaenia formula,1985,Ent. Calif. Ch. Isls. Proc.,1978,8,1,,,,,,,
lit,Hymenoptera,Anthophoridae,Hypochrotaenia,,formula,Hypochrotaenia formula,1985,Ent. Calif. Ch. Isls. Proc.,,,1,,1,1,1,,1,
lit,Hymenoptera,Anthophoridae,Hypochrotaenia,,formula,Hypochrotaenia formula,1986,Psyche,1984,5,,,,,,,1,
lit,Hymenoptera,Anthophoridae,Hypochrotaenia,,suavis,Hypochrotaenia suavis,1939,Bull. S. Calif. Acad. Sci.,1939,8,,,,,1,,,1
lit,Hymenoptera,Anthophoridae,Hypochrotaenia,,suavis,Hypochrotaenia suavis,1939,Proc. Calif. Acad. Sci. ser.4,,,,,1,,,,,
lit,Hymenoptera,Anthophoridae,Hypochrotaenia,,suavis,Hypochrotaenia suavis,1985,Ent. Calif. Ch. Isls. Proc.,,,,,1,,1,,,
lit,Hymenoptera,Anthophoridae,Hypochrotaenia,,suavis,Hypochrotaenia suavis,1985,Ent. Calif. Ch. Isls. Proc.,,,,,1,,1,,,1
lit,Hymenoptera,Anthophoridae,Hypochrotaenia,,suavis,Hypochrotaenia suavis,1986,Psyche,,,,,,,,1,,
lit,Hymenoptera,Anthophoridae,Melecta,,separata separata,Melecta separata separata,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,1,,,,
lit,Hymenoptera,Anthophoridae,Melissodes,,scotti,Melissodes scotti,1939,Proc. Calif. Acad. Sci. ser.4,,,,,,1,,,,
lit,Hymenoptera,Anthophoridae,Melissodes,,scotti,Melissodes scotti,1940,Proc. Sixth Pac. Sci. Cong.,,,,,,1,,,,
lit,Hymenoptera,Anthophoridae,Melissodes,,scotti,Melissodes scotti,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,1,,,,
