Institution Accession Number ,Country,State,County,Island,Locality Detail,Collector(s),Order,Family,Subfamily,Genus,Subgenus,Species,Subspecies,scientificName,original_date,month,day_arabic,year,TO Date Collected,day_messy,month_messy,Drawer,Survey,Sex,Collecting Remarks,Type,Curation Remarks,Stage,Elevation
LACM ENT 424591,USA,CA,Santa Barbara,San Miguel,,,Orthoptera,Acrididae,,Camnula,,pellucida,,Camnula pellucida ,29.vii.1939,7,29,1939,,29,vii,26P-04616,Channel Islands Survey,,,,,,
LACM ENT 424592,USA,CA,Santa Barbara,San Miguel,,,Orthoptera,Acrididae,,Camnula,,pellucida,,Camnula pellucida ,29.vii.1939,7,29,1939,,29,vii,26P-04616,Channel Islands Survey,,,,,,
LACM ENT 424593,USA,CA,Santa Barbara,San Miguel,,,Orthoptera,Acrididae,,Camnula,,pellucida,,Camnula pellucida ,31.vii.1939,7,31,1939,,31,vii,26P-04616,Channel Islands Survey,,,,,,
LACM ENT 424594,USA,CA,Santa Barbara,San Miguel,,,Orthoptera,Acrididae,,Camnula,,pellucida,,Camnula pellucida ,31.vii.1939,7,31,1939,,31,vii,26P-04616,Channel Islands Survey,,,,,,
LACM ENT 424595,USA,CA,Santa Barbara,San Miguel,,,Orthoptera,Acrididae,,Camnula,,pellucida,,Camnula pellucida ,1.viii.1939,8,1,1939,,1,viii,26P-04616,Channel Islands Survey,,,,,,
LACM ENT 424596,USA,CA,Santa Barbara,San Miguel,,,Orthoptera,Acrididae,,Camnula,,pellucida,,Camnula pellucida ,30.vii.1939,7,30,1939,,30,vii,26P-04616,Channel Islands Survey,,,,,,
LACM ENT 424597,USA,CA,Santa Barbara,San Miguel,,,Orthoptera,Acrididae,,Camnula,,pellucida,,Camnula pellucida ,31.vii.1939,7,31,1939,,31,vii,26P-04616,Channel Islands Survey,,,,,,
LACM ENT 424598,USA,CA,Santa Barbara,San Miguel,,,Orthoptera,Acrididae,,Camnula,,pellucida,,Camnula pellucida ,2.viii.1939,8,2,1939,,2,viii,26P-04616,Channel Islands Survey,,,,,,
LACM ENT 424599,USA,CA,Santa Barbara,San Miguel,,,Orthoptera,Acrididae,,Camnula,,pellucida,,Camnula pellucida ,25.vii.1939,7,25,1939,,25,vii,26P-04616,Channel Islands Survey,,,,,,
LACM ENT 424600,USA,CA,Santa Barbara,San Miguel,,,Orthoptera,Acrididae,,Camnula,,pellucida,,Camnula pellucida ,29.vii.1939,7,29,1939,,29,vii,26P-04616,Channel Islands Survey,,,,,,
LACM ENT 424601,USA,CA,Santa Barbara,San Miguel,,,Orthoptera,Acrididae,,Camnula,,pellucida,,Camnula pellucida ,11.viii.1939,8,11,1939,,11,viii,26P-04616,Channel Islands Survey,,,,,,
