"","acceptedFamily","acceptedGenus","acceptedName"
"80","Oxyopidae",,
"81","Oxyopidae","Peucetia",
"82","Oxyopidae","Peucetia","Peucetia viridans"
"83","Parasitidae",,
"84","Penthaleidae",,
"85","Phalangodidae","Sitalcina",
"86","Philodromidae",,
"87","Philodromidae","Tibellus",
"88","Philodromidae","Tibellus","Tibellus oblongus"
"89","Pholcidae","Holocnemus","Holocnemus pluchei"
"90","Pholcidae",,
"91","Pholcidae","Pholcus",
"92","Pholcidae","Pholcus","Pholcus phalangioides"
"93","Pholcidae","Psilochorus",
"94","Plectreuridae","Plectreurys",
"95","Protolophidae","Protolophus",
"96","Protolophidae","Protolophus","Protolophus cockerelli"
"97","Protolophidae","Protolophus","Protolophus singularis"
"98","Rhagidiidae",,
"99","Salticidae",,
"100","Salticidae","Habronattus",
"101","Salticidae","Habronattus","Habronattus californicus"
"102","Salticidae","Habronattus","Habronattus oregonensis"
"103","Salticidae","Habronattus","Habronattus tarsalis"
"104","Salticidae","Metacyrba",
"105","Salticidae","Metacyrba","Metacyrba taeniola"
"106","Salticidae","Metaphidippus",
"107","Salticidae","Mexigonus","Mexigonus minutus"
"108","Salticidae","Mexigonus","Mexigonus morosus"
"109","Salticidae","Pelegrina","Pelegrina aeneola"
"110","Salticidae","Phanias",
"111","Salticidae","Phidippus",
"112","Salticidae","Phidippus","Phidippus adumbratus"
"113","Salticidae","Phidippus","Phidippus johnsoni"
"114","Salticidae","Salticus","Salticus palpalis"
"115","Salticidae","Sassacus","Sassacus vitis"
"116","Salticidae","Synageles",
"117","Salticidae","Terralonus","Terralonus californicus"
"118","Sclerosomatidae","Leuronychus","Leuronychus pacificus"
"119","Scytodidae","Scytodes","Scytodes lugubris"
"120","Segestriidae","Segestria",
"121","Segestriidae","Segestria","Segestria pacifica"
"122","Smarididae",,
"123","Sparassidae","Curicaberis",
"124","Sparassidae","Curicaberis","Curicaberis peninsulanus"
"125","Tetragnathidae",,
"126","Theridiidae","Argyrodes",
"127","Theridiidae","Asagena",
"128","Theridiidae","Latrodectus",
"129","Theridiidae","Latrodectus","Latrodectus geometricus"
"130","Theridiidae","Latrodectus","Latrodectus hesperus"
"131","Theridiidae","Parasteatoda",
"132","Theridiidae","Parasteatoda","Parasteatoda tepidariorum"
"133","Theridiidae","Steatoda",
"134","Theridiidae","Steatoda","Steatoda grossa"
"135","Theridiidae","Steatoda","Steatoda nobilis"
"136","Theridiidae",,
"137","Theridiidae","Theridion",
"138","Thomisidae","Diaea","Diaea livens"
"139","Thomisidae","Mecaphesa",
"140","Thomisidae","Misumena",
"141","Thomisidae","Misumena","Misumena vatia"
"142","Thomisidae",,
"143","Thomisidae","Thomisus",
"144","Thomisidae","Tmarus",
"145","Thomisidae","Xysticus",
"146","Trachelidae","Trachelas",
"147","Trachelidae","Trachelas","Trachelas pacificus"
"148","Microtrombidiidae","Trombidium",
"149","Vaejovidae","Catalinia","Catalinia minima"
"150","Vaejovidae","Catalinia","Catalinia thompsoni"
"151","Zodariidae","Lutica",
"152","Zodariidae","Lutica","Lutica nicolasia"
"153","Zoropsidae",,
"154",,,
"155","Amaurobiidae","Callobius",
"156","Araneidae","Metepeira","Metepeira ventura"
"157","Garypinidae",,
