record,order,family,acceptedFamily,genus,acceptedGenus,species,acceptedEpithet ,acceptedName,DESCRIBER,DESYR,XREF,AUTHOR,YRPUBL,PUBL,VOL,PAGE,PAGE2,IDYRQUAL,Anacapa,Santa Barbara,Santa Catalina,San Clemente,,Santa Cruz,San Miguel,San Nicholas,Santa Rosa,NO,SO,COR,GUA,MONTH,year,NOSPEC,ECOLOGY,NOTES,,
Literature,Lepidoptera,Geometridae,Geometridae,Hydriomena,Hydriomena,albifasciata albifasciata,albifasciata albifasciata,Hydriomena albifasciata albifasciata,Packard,1874,,"McDunnough, J.",1954,Bull. Amer. Mus. Nat. Hist.,104,316,,,,,,,,,,,,,,,,0,,,Channel Islands,"see McDunnough, 1944",,
Literature,Lepidoptera,Geometridae,Geometridae,Hydriomena,Hydriomena,glaucata,glaucata,Hydriomena glaucata,(Packard),1874,,"McDunnough, J.",1944,Bull. So. Calif. Acad. Sci.,43,23,-29,,,,x,,,x,,,,,,,,0,,,,"see McDunnough, 1954",,
Literature,Lepidoptera,Geometridae,Geometridae,Hydriomena,Hydriomena,glaucata,glaucata,Hydriomena glaucata,(Packard),1874,,"McDunnough, J.",1954,Bull. Amer. Mus. Nat. Hist.,104,297,,,,,x,,,x,,,x,,,,,0,,,"""bred from oak"", Santa Cruz","see McDunnough, 1944",,
Literature,Lepidoptera,Geometridae,Geometridae,Hydriomena,Hydriomena,glaucata,glaucata,Hydriomena glaucata,(Packard),1874,,Powell,1985,Ent. Calif. Ch. Isls. Proc.,,84,,,,,x,,,x,,,x,,,,,0,,,,,,
Literature,Lepidoptera,Geometridae,Geometridae,Hydriomena,Hydriomena,quinquefasciata,quinquefasciata,Hydriomena quinquefasciata,Packard,1871,,"McDunnough, J.",1954,Bull. Amer. Mus. Nat. Hist.,104,312,,,,,,,,,,,x,,,,,0,,,,"see McDunnough, 1944",,
Literature,Lepidoptera,Geometridae,Geometridae,Nemoria,Nemoria,leptalea,leptalea,Nemoria leptalea,Ferguson,1969,,Ferguson,1985,"Moths Amer. No. Mex., Fasc. 18",,1,-131,,,,x,,,x,,,,,,,,0,,,,,,
Literature,Lepidoptera,Geometridae,Geometridae,Nemoria,Nemoria,pistacearia,pistaciaria,Nemoria pistaciaria,(Packard),1876,,Ferguson,1985,"Moths Amer. No. Mex., Fasc.",18,131,,,,,x,,,x,,,,,,,,0,,,foodplant on cat is Artemisia,californica,,
Literature,Lepidoptera,Geometridae,Geometridae,Perizoma,Perizoma,custodiata,custodiata,Perizoma custodiata,(Guenee),1857,,Cockerell,1940,Proc. Sixth Pac. Sci. Cong.,4,293,,Clarke,,,,x,,,,x,,,,,,0,,,,,,
Literature,Lepidoptera,Geometridae,Geometridae,Perizoma,Perizoma,sp.,,,,,,Cockerell,1940,Proc. Sixth Pac. Sci. Cong.,4,293,,,,,,,,,,x,,,,,,0,,,,mistaken for butterflies,,
Literature,Lepidoptera,Geometridae,Geometridae,Pero,Pero,catalina,catalina,Pero catalina,Poole,1987,as Pergama nr. macdunnoughi,Powell,1985,Ent. Calif. Ch. Isls. Proc.,,78,,,,,x,,,,,,,,,,,0,,,,,,
Literature,Lepidoptera,Geometridae,Geometridae,Pero,Pero,catalina,catalina,Pero catalina,Poole,1987,,Poole,1987,USDA Tech. Bull.,1698,1,-257,,,,x,,,,,,,,,,,0,,,,,,
Literature,Lepidoptera,Geometridae,Geometridae,Pero,Pero,radiosaria,radiosaria,Pero radiosaria,(Hulst),1886,,Poole,1987,USDA Tech. Bull.,1698,1,-257,,,,x,,,,,,,,,,,4,1987,,,,,
Literature,Lepidoptera,Geometridae,Geometridae,Pero,Pero,sp. nr. giganteus,giganteus,Pero giganteus,(Grossbeck),,as Pergama SYN,Powell,1985,Ent. Calif. Ch. Isls. Proc.,,79,,,,,,x,,,,,,,,,,0,,,,,,
Literature,Lepidoptera,Geometridae,Geometridae,Pero,Pero,sp. nr. giganteus,giganteus,Perp sp. nr. Giganteus,(Grossbeck),,as Pergama SYN,Powell,1985,Ent. Calif. Ch. Isls. Proc.,,78,,,,,,x,,,,,,,,,,0,,,,,,
Literature,Lepidoptera,Geometridae,Geometridae,Phigalia,Phigalia,plumigeraria,plumogeraria,Phigalia plumogeraria,(Hulst),1888,,Rindge,1975,Bull. Amer. Mus. Nat. Hist.,156,69,-156,,,,,,,x,,,,,,,,0,,,,,,
Literature,Lepidoptera,Geometridae,Geometridae,Pterotaea,Pterotaea,crinigera,crinigera,Pterotaea crinigera,Rindge,1970,,Rindge,1970,Bull. Amer. Mus. Nat. Hist.,142,255,-342,,,,,x,,,,,,,,,,0,,,,,,
Literature,Lepidoptera,Geometridae,Geometridae,Pterotaea,Pterotaea,crinigera,crinigera,Pterotaea crinigera,Rindge,1970,,Powell,1985,Ent. Calif. Ch. Isls. Proc.,,78,,,,,,x,,,,,,,,,,0,,,,,,
Literature,Lepidoptera,Geometridae,Geometridae,Pterotaea,Pterotaea,lamiaria,lamiaria,Pterotaea lamiaria,(Strecker),1899,as l. lamiaria,Rindge,1970,Bull. Amer. Mus. Nat. Hist.,142,255,-342,,,,x,,,,,,,,,,,0,,,,,,
