Family,Taxa_name,Syn,Eliminate,assign_by_island,SMI,SR,SCR,A,SBA,SNI,SCL,SCA
Caryophyllaceae,Herniaria hirsuta,Herniaria hirsuta var. cinerea,,,1,1,,,1,1,1,1
Caryophyllaceae,Herniaria hirsuta var. cinerea,,,,1,1,,,1,1,1,1
Caryophyllaceae,Loeflingia squarrosa,,,,,,,,,1,,
Caryophyllaceae,Minuartia douglasii,,,,,1,1,,,,1,1
Caryophyllaceae,Polycarpon depressum,,,,1,,1,,,,1,1
Caryophyllaceae,Polycarpon tetraphyllum,,,,1,1,1,1,1,,1,1
Caryophyllaceae,Sagina apetala,,,,1,1,1,,,1,,1
Caryophyllaceae,Sagina decumbens subsp. occidentalis,,,,1,1,1,,,,,1
Caryophyllaceae,Silene antirrhina,,,,1,1,1,,,,1,1
Caryophyllaceae,Silene gallica,,,,1,1,1,1,1,1,1,1
Caryophyllaceae,Silene laciniata,Silene laciniata subsp. laciniata,,,1,1,1,1,,,1,1
Caryophyllaceae,Silene laciniata subsp. laciniata,,,,1,1,1,1,,,1,1
Caryophyllaceae,Silene multinervia,,,,,,1,,,,,1
Caryophyllaceae,Spergula arvensis,,,,,1,,,,,,1
Caryophyllaceae,Spergularia bocconi,,,,1,1,1,1,1,1,1,1
Caryophyllaceae,Spergularia macrotheca,,,,1,1,1,1,1,1,1,1
Caryophyllaceae,Spergularia macrotheca var. leucantha,Spergularia macrotheca,,,1,1,1,1,1,1,1,1
Caryophyllaceae,Spergularia macrotheca var. macrotheca,Spergularia macrotheca,,,1,1,1,1,1,1,1,1
Caryophyllaceae,Spergularia marina,,,,,1,1,1,1,1,1,1
Caryophyllaceae,Spergularia villosa,,,,,1,1,,,1,1,1
Caryophyllaceae,Stellaria media,,,,1,1,1,1,,,1,1
Caryophyllaceae,Stellaria nitens,,,,,1,1,,,,,1
Caryophyllaceae,Stellaria pallida,,,,,,1,,,,1,1
Chenopodiaceae,Aphanisma blitoides,,,,1,1,1,1,1,1,1,1
Chenopodiaceae,Arthrocnemum subterminale,,,,1,1,1,,,,1,1
Chenopodiaceae,Atriplex argentea var. expansa,,,,,1,1,,,1,1,1
Chenopodiaceae,Atriplex canescens,,,,,,,,,1,,
Chenopodiaceae,Atriplex coulteri,,,,1,1,1,1,,,1,1
Chenopodiaceae,Atriplex lentiformis,,,,,,1,1,,1,1,1
Chenopodiaceae,Atriplex leucophylla,,,,1,1,1,1,,1,1,1
Chenopodiaceae,Atriplex pacifica,,,,,1,1,1,1,1,1,1
Chenopodiaceae,Atriplex parishii,,elim,,,,,,,,,
Chenopodiaceae,Atriplex prostrata,,,,1,,1,,,1,,1
Chenopodiaceae,Atriplex rosea,,,,,,,,,,,1
Chenopodiaceae,Atriplex semibaccata,,,,1,1,1,1,1,1,1,1
Chenopodiaceae,Atriplex serenana,,elim,,,,,,,,,
Chenopodiaceae,Atriplex serenana var. davidsonii,,,,,1,,,,,,1
Chenopodiaceae,Atriplex serenana var. serenana,,,,,,1,,,,,1
Chenopodiaceae,Atriplex suberecta,,,,,,,1,,,,1
Chenopodiaceae,Atriplex watsonii,,,,1,1,1,1,,1,1,1
Chenopodiaceae,Bassia hyssopifolia ,,,,,,,,,1,1,1
Chenopodiaceae,Beta vulgaris,Beta vulgaris subsp. maritima,,,1,1,1,1,,,1,1
Chenopodiaceae,Beta vulgaris subsp. maritima,,,,1,1,1,1,,,1,1
Chenopodiaceae,Chenopodium berlandieri,,,,,1,1,1,,1,,1
Chenopodiaceae,Chenopodium californicum,,,,1,1,1,1,1,1,1,1
Chenopodiaceae,Chenopodium macrospermum,,,,,,,,,1,1,1
Chenopodiaceae,Chenopodium murale,,,,1,1,1,1,1,1,1,1
Chenopodiaceae,Dysphania ambrosioides,,,,,1,1,,,1,1,1
Chenopodiaceae,Dysphania multifida,,,,,1,,,,,1,
Chenopodiaceae,Dysphania pumilio,,,,,,,,,,,1
Chenopodiaceae,Extriplex californica,,,,1,1,1,1,1,1,1,1
Chenopodiaceae,Monolepis nuttalliana,,,,1,1,1,,1,,1,
Chenopodiaceae,Salicornia pacifica,,,,1,1,1,1,,1,1,1
Chenopodiaceae,Salsola australis,,,,,1,1,,,1,1,1
Chenopodiaceae,Salsola tragus,,,,,,,1,,,,1
Chenopodiaceae,Suaeda calceoliformis,,,,,,,,,,,1
Chenopodiaceae,Suaeda californica,,elim,,,,,,,,,
Chenopodiaceae,Suaeda taxifolia,,,,1,1,1,1,1,1,1,1
Cistaceae,Crocanthemum greenei,,,,1,1,1,,,,,1
Cistaceae,Crocanthemum scoparium,,,,,1,1,,,,1,1
Cleomaceae,Peritoma arborea,,,,,1,,,,,1,1
Convolvulaceae,Calystegia macrostegia,,elim,,,,,,,,,
Convolvulaceae,Calystegia macrostegia subsp. amplissima,,,,,,,,1,1,1,
Convolvulaceae,Calystegia macrostegia subsp. cyclostegia,,,,,,,,,,,1
Convolvulaceae,Calystegia macrostegia subsp. intermedia,,,,,,,,,,,1
Convolvulaceae,Calystegia macrostegia subsp. macrostegia,,,,1,1,1,1,,,,1
