kingdom_final,phylum_final,class_final,order_final,family_final,old_name,new_datasetname,syn_replace,Eliminate,SMI,SR,SCR,A,SBA,SNI,SCL,SCA
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Ambrosia chamissonis,Ambrosia chamissonis,,Keep,1,1,1,1,,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Ambrosia chamissonis var. chamissonis,Ambrosia chamissonis var. chamissonis,Ambrosia chamissonis,Keep,1,1,1,1,,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Ambrosia psilostachya,Ambrosia psilostachya,,Keep,1,1,1,,,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Anaphalis margaritacea,Anaphalis margaritacea,,Elim,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Anthemis cotula,Anthemis cotula,,Keep,,1,1,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Arctium minus,Arctium minus,,Keep,,1,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Artemisia californica,Artemisia californica,,Keep,1,1,1,1,1,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Artemisia vulgaris subsp. heterophylla,Artemisia douglasiana,,Keep,,1,1,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Artemisia douglasiana,Artemisia douglasiana,,Keep,,1,1,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Artemisia dracunculus,Artemisia dracunculus,,Keep,,,,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Artemisia nesiotica,Artemisia nesiotica,,Keep,,,,,1,1,1,
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Baccharis douglasii,Baccharis glutinosa,,Keep,1,1,1,,,,1,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Baccharis glutinosa,Baccharis glutinosa,,Keep,1,1,1,,,,1,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Baccharis pilularis subsp. consanguinea,Baccharis pilularis subsp. consanguinea,,Keep,1,1,1,1,1,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Baccharis pilularis,Baccharis pilularis subsp. consanguinea,,Keep,1,1,1,1,1,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Baccharis plummerae,Baccharis plummerae subsp. plummerae,,Keep,,,1,1,,,,
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Baccharis plummerae subsp. plummerae,Baccharis plummerae subsp. plummerae,,Keep,,,1,1,,,,
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Baccharis salicifolia,Baccharis salicifolia,,Keep,1,1,1,1,,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Baccharis emoryi,Baccharis salicina,,Keep,,,,,1,,1,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Baccharis salicina,Baccharis salicina,,Keep,,,,,1,,1,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Baccharis sarothroides,Baccharis sarothroides,,Keep,,,,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Baeria chrysostoma subsp. hirsutula,Baeria chrysostoma subsp. hirsutula,,Elim,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Baeria hirsutula,Baeria hirsutula,,Elim,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,,Bahiopsis laciniata,,Keep,,,,,,,1,
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Bebbia juncea var. juncea,Bebbia juncea var. juncea,,Elim,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Blennosperma nanum,Blennosperma nanum var. nanum,,Keep,,,1,,,,,
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Blennosperma nanum var. nanum,Blennosperma nanum var. nanum,,Keep,,,1,,,,,
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Brickellia californica,Brickellia californica,,Keep,,1,1,1,,,1,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Calendula officinalis,Calendula officinalis,,Elim,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Carduus pycnocephalus,Carduus pycnocephalus subsp. pycnocephalus,,Keep,1,1,1,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Cnicus benedictus,Centaurea benedicta,,Keep,,,1,,,,,
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Centaurea benedicta,Centaurea benedicta,,Keep,,,1,,,,,
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Centaurea cineraria,Centaurea cineraria,,Keep,,,,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Centaurea cyanus,Centaurea cyanus,,Elim,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Centaurea melitensis,Centaurea melitensis,,Keep,1,1,1,1,1,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Centaurea solstitialis,Centaurea solstitialis,,Keep,,1,1,,,1,,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Hemizonia fitchii,Centromadia fitchii,,Keep,,,1,,,,,
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Centromadia fitchii,Centromadia fitchii,,Keep,,,1,,,,,
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Centromadia pungens subsp. pungens,Centromadia pungens subsp. pungens,,Keep,,,,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Hemizonia pungens,Centromadia pungens subsp. pungens,,Keep,,,,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Chaenactis glabriuscula var. megacephala,Chaenactis glabriuscula,,Keep,,1,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Chaenactis glabriuscula var. glabriuscula,Chaenactis glabriuscula,,Keep,,1,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Chaenactis glabriuscula,Chaenactis glabriuscula,,Keep,,1,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Chaenactis glabriuscula var. lanosa,Chaenactis glabriuscula,,Keep,,1,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Cichorium intybus,Cichorium intybus,,Keep,,,1,,,,,
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Cirsium brevistylum,Cirsium brevistylum,,Keep,,,1,,,,,
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Cirsium occidentale,Cirsium occidentale,,Keep,1,1,1,,,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Cirsium occidentale var. californicum,Cirsium occidentale var. californicum,Cirsium occidentale,Keep,1,1,1,,,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Cirsium occidentale var. coulteri,Cirsium occidentale var. coulteri,Cirsium occidentale,Keep,1,1,1,,,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Cirsium occidentale var. occidentale,Cirsium occidentale var. occidentale,Cirsium occidentale,Keep,1,1,1,,,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,,Cirsium ochrocentrum var. ochrocentrum,,Keep,,1,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Cirsium undulatum,Cirsium undulatum,,Elim,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Cirsium vulgare,Cirsium vulgare,,Keep,1,1,1,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Eriophyllum nevinii,Constancea nevinii,,Keep,,,,,1,,1,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Constancea nevinii,Constancea nevinii,,Keep,,,,,1,,1,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Corethrogyne filaginifolia var. californica,Corethrogyne filaginifolia,,Keep,1,1,1,1,,,,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Corethrogyne filaginifolia var. robusta,Corethrogyne filaginifolia,,Keep,1,1,1,1,,,,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Corethrogyne filaginifolia var. virgata,Corethrogyne filaginifolia,,Keep,1,1,1,1,,,,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Lessingia filaginifolia var. filaginifolia,Corethrogyne filaginifolia,,Keep,1,1,1,1,,,,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Corethrogyne filaginifolia var. latifolia,Corethrogyne filaginifolia,,Keep,1,1,1,1,,,,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Corethrogyne filaginifolia var. viscidula,Corethrogyne filaginifolia,,Keep,1,1,1,1,,,,1
