scientificName,acceptedName
Orthocarpus densiflorus var. densiflorus,Castilleja densiflora subsp. densiflora
Castilleja densiflora subsp. gracilis,Castilleja densiflora subsp. gracilis
Orthocarpus densiflorus var. gracilis,Castilleja densiflora subsp. gracilis
Castilleja exserta,Castilleja exserta
Castilleja exserta subsp. exserta,Castilleja exserta subsp. exserta
Orthocarpus purpurascens,Castilleja exserta subsp. exserta
Orthocarpus purpurascens var. pallidus,Castilleja exserta subsp. exserta
Orthocarpus purpurascens var. purpurascens,Castilleja exserta subsp. exserta
Castilleja foliolosa,Castilleja foliolosa
Castilleja grisea,Castilleja grisea
Castilleja hololeuca,Castilleja hololeuca
Castilleja lanata subsp. hololeuca,Castilleja hololeuca
Castilleja lanata,Castilleja lanata
Castilleja miniata,Castilleja miniata
Castilleja mollis,Castilleja mollis
Castilleja wightii,Castilleja wightii
Casuarina equisetifolia,Casuarina equisetifolia
Caulanthus inflatus,Caulanthus inflatus
Caulanthus lasiophyllus,Caulanthus lasiophyllus
Guillenia lasiophylla,Caulanthus lasiophyllus
Thelypodium lasiophyllum,Caulanthus lasiophyllus
Ceanothus arborius,Ceanothus arboreus
Ceanothus arboreus var. glaber,Ceanothus arboreus
Ceanothus arboreus,Ceanothus arboreus
Ceanothus arboreus var. glabra,Ceanothus arboreus
Ceanothus crassifolius,Ceanothus crassifolius
Ceanothus crassifolius var. planus,Ceanothus crassifolius var. planus
Ceanothus cuneatus,Ceanothus cuneatus
Ceanothus integerrimus,Ceanothus integerrimus
Ceanothus megacarpus,Ceanothus megacarpus
Ceanothus insularis,Ceanothus megacarpus var. insularis
Ceanothus megacarpus insularis,Ceanothus megacarpus var. insularis
Ceanothus megacarpus subsp. insularis,Ceanothus megacarpus var. insularis
Ceanothus megacarpus var. insularis,Ceanothus megacarpus var. insularis
Ceanothus megacarpus subsp. megacarpus,Ceanothus megacarpus var. megacarpus
Ceanothus megacarpus var. megacarpus,Ceanothus megacarpus var. megacarpus
Ceanothus oliganthus,Ceanothus oliganthus
Cedrus deodara,Cedrus deodara
Cenchrus echinatus,Cenchrus echinatus
Cenchrus setaceus,Cenchrus setaceus
