id,month,year,island,class,acceptedGenus,acceptedName,latitude,longitude,locality,source,type,Lat_alb,Lon_alb,Id,ISL_NAME,geometry
1039466192,7,1968,San Miguel,Amphibia,Batrachoseps,Batrachoseps pacificus,34.0508,-120.3519,Cuylers Harbor,Cal-IBIS,Collection,-440471.66390394187,-32489.216194244094,NA,NA,"c(-32489.2161942441, -440471.663903942)"
1039466163,7,1968,San Miguel,Amphibia,Batrachoseps,Batrachoseps pacificus,34.0508,-120.3519,Cuylers Harbor,Cal-IBIS,Collection,-440471.66390394187,-32489.216194244094,NA,NA,"c(-32489.2161942441, -440471.663903942)"
1039466123,7,1968,San Miguel,Amphibia,Batrachoseps,Batrachoseps pacificus,34.03780462,-120.3735881,NA,Cal-IBIS,Collection,-441905.54054063046,-34497.24329946249,0,San Miguel,"c(-34497.2432994625, -441905.54054063)"
1039465942,7,1968,San Miguel,Amphibia,Batrachoseps,Batrachoseps pacificus,34.0508,-120.3519,Cuylers Harbor,Cal-IBIS,Collection,-440471.66390394187,-32489.216194244094,NA,NA,"c(-32489.2161942441, -440471.663903942)"
1039465853,7,1968,San Miguel,Amphibia,Batrachoseps,Batrachoseps pacificus,34.03780462,-120.3735881,NA,Cal-IBIS,Collection,-441905.54054063046,-34497.24329946249,0,San Miguel,"c(-34497.2432994625, -441905.54054063)"
1039465449,7,1968,San Miguel,Amphibia,Batrachoseps,Batrachoseps pacificus,34.0508,-120.3519,Cuylers Harbor,Cal-IBIS,Collection,-440471.66390394187,-32489.216194244094,NA,NA,"c(-32489.2161942441, -440471.663903942)"
1039465376,7,1968,San Miguel,Amphibia,Batrachoseps,Batrachoseps pacificus,34.0508,-120.3519,Cuylers Harbor,Cal-IBIS,Collection,-440471.66390394187,-32489.216194244094,NA,NA,"c(-32489.2161942441, -440471.663903942)"
1039465247,7,1968,San Miguel,Amphibia,Batrachoseps,Batrachoseps pacificus,34.0397,-120.3744,Lester Ranch House,Cal-IBIS,Collection,-441694.9973758999,-34571.38373905218,0,San Miguel,"c(-34571.3837390522, -441694.9973759)"
1039464877,7,1968,San Miguel,Amphibia,Batrachoseps,Batrachoseps pacificus,34.0397,-120.3744,Lester Ranch House,Cal-IBIS,Collection,-441694.9973758999,-34571.38373905218,0,San Miguel,"c(-34571.3837390522, -441694.9973759)"
1039464622,7,1968,San Miguel,Amphibia,Batrachoseps,Batrachoseps pacificus,34.0508,-120.3519,Cuylers Harbor,Cal-IBIS,Collection,-440471.66390394187,-32489.216194244094,NA,NA,"c(-32489.2161942441, -440471.663903942)"
1039464616,7,1968,San Miguel,Amphibia,Batrachoseps,Batrachoseps pacificus,34.0508,-120.3519,Cuylers Harbor,Cal-IBIS,Collection,-440471.66390394187,-32489.216194244094,NA,NA,"c(-32489.2161942441, -440471.663903942)"
1039463425,7,1968,San Miguel,Amphibia,Batrachoseps,Batrachoseps pacificus,34.0508,-120.3519,Cuylers Harbor,Cal-IBIS,Collection,-440471.66390394187,-32489.216194244094,NA,NA,"c(-32489.2161942441, -440471.663903942)"
1039462563,7,1968,San Miguel,Amphibia,Batrachoseps,Batrachoseps pacificus,34.0508,-120.3519,Cuylers Harbor,Cal-IBIS,Collection,-440471.66390394187,-32489.216194244094,NA,NA,"c(-32489.2161942441, -440471.663903942)"
1039462424,7,1968,San Miguel,Amphibia,Batrachoseps,Batrachoseps pacificus,34.0397,-120.3744,Lester Ranch House,Cal-IBIS,Collection,-441694.9973758999,-34571.38373905218,0,San Miguel,"c(-34571.3837390522, -441694.9973759)"
