source,order,family,genus,specificEp,scientificName,yearpub,PUBL,year,month,ANA,BAR,CAT,CLE,CRU,MIG,NIC,ROS
lit,Lepidoptera,Gracillariidae,Phyllonorycter,sandraella,Phyllonorycter sandraella,1974,Univ. Calif. Publ. Ent.,,,,,,,x,,,
lit,Lepidoptera,Heliodinidae,Lithariapteryx,jubarella,Lithariapteryx jubarella,1991,J. Lepid. Soc.,,,,,,,x,,,
lit,Lepidoptera,Heliozelidae,Coptodisca,powellella,Coptodisca powellella,1974,Univ. Calif. Publ. Ent.,,,,,,,x,,,
lit,Lepidoptera,Hesperiidae,Atalopedes,campestris,Atalopedes campestris,1985,Ent. Calif. Ch. Isls. Proc.,1979,6,,,,,x,,,
lit,Lepidoptera,Hesperiidae,Atalopedes,campestris,Atalopedes campestris,1985,J. Res. Lepid.,,,,,,,x,,,
lit,Lepidoptera,Hesperiidae,Erynnis,funeralis,Erynnis funeralis,1937,Bull. So. Calif. Acad. Sci.,1931,9,,,x,,,,,
lit,Lepidoptera,Hesperiidae,Erynnis,funeralis,Erynnis funeralis,1964,Univ. Calif. Publ. Ent.,,,,,x,,,,,
lit,Lepidoptera,Hesperiidae,Erynnis,funeralis,Erynnis funeralis,1985,J. Res. Lepid.,,,,,x,x,,,,
lit,Lepidoptera,Hesperiidae,Erynnis,funeralis,Erynnis funeralis,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,x,,,,
lit,Lepidoptera,Hesperiidae,Erynnis,funeralis,Erynnis funeralis,1985,J. Res. Lepid.,,,,,,x,,,,
lit,Lepidoptera,Hesperiidae,Erynnis,tristis,Erynnis tristis,1981,J. Res. Lepid.,1966,5,,,,,x,,,
lit,Lepidoptera,Hesperiidae,Erynnis,tristis,Erynnis tristis,1985,J. Res. Lepid.,,,,,,,x,,,
lit,Lepidoptera,Hesperiidae,Hylephila,phyleus,Hylephila phyleus,1937,Bull. So. Calif. Acad. Sci.,1931,9,,,x,,,,,
lit,Lepidoptera,Hesperiidae,Hylephila,phyleus,Hylephila phyleus,1985,J. Res. Lepid.,,,,,x,,,x,,
lit,Lepidoptera,Hesperiidae,Hylephila,phyleus,Hylephila phyleus,1985,Ent. Calif. Ch. Isls. Proc.,1939,,,,,,,x,,
lit,Lepidoptera,Hesperiidae,Ochlodes,sylvanoides,Ochlodes sylvanoides,1937,Bull. So. Calif. Acad. Sci.,1930,7,,,x,,,,,
lit,Lepidoptera,Hesperiidae,Ochlodes,sylvanoides,Ochlodes sylvanoides,1937,Bull. So. Calif. Acad. Sci.,1929,7,,,x,,,,,
lit,Lepidoptera,Hesperiidae,Ochlodes,sylvanoides,Ochlodes sylvanoides,1981,J. Res. Lepid.,1966,5,,,,,x,,,
lit,Lepidoptera,Hesperiidae,Ochlodes,sylvanoides,Ochlodes sylvanoides,1985,J. Res. Lepid.,,,,,x,,x,,,x
lit,Lepidoptera,Hesperiidae,Ochlodes,sylvanoides,Ochlodes sylvanoides,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,x,,,
