"island","isl.rastCell"
"Santa Catalina","21703"
"Santa Catalina","21704"
"Santa Catalina","21705"
"Santa Catalina","21706"
"Santa Catalina","21707"
"Santa Catalina","21942"
"Santa Catalina","21943"
"Santa Catalina","21944"
"Santa Catalina","21945"
"Santa Catalina","21946"
"Santa Catalina","21947"
"Santa Catalina","21948"
"Santa Catalina","21949"
"Santa Catalina","21950"
"Santa Catalina","21951"
"Santa Catalina","21952"
"Santa Catalina","21953"
"Santa Catalina","21954"
"Santa Catalina","21955"
"Santa Catalina","21956"
"Santa Catalina","21957"
"Santa Catalina","21958"
"Santa Catalina","22192"
"Santa Catalina","22193"
"Santa Catalina","22194"
"Santa Catalina","22195"
"Santa Catalina","22196"
"Santa Catalina","22197"
"Santa Catalina","22198"
"Santa Catalina","22199"
"Santa Catalina","22200"
"Santa Catalina","22201"
"Santa Catalina","22202"
"Santa Catalina","22203"
"Santa Catalina","22204"
"Santa Catalina","22205"
"Santa Catalina","22206"
"Santa Catalina","22207"
"Santa Catalina","22208"
"Santa Catalina","22443"
"Santa Catalina","22444"
"Santa Catalina","22445"
"Santa Catalina","22446"
"Santa Catalina","22447"
"Santa Catalina","22448"
"Santa Catalina","22449"
"Santa Catalina","22450"
"Santa Catalina","22451"
"Santa Catalina","22452"
"Santa Catalina","22453"
"Santa Catalina","22454"
"Santa Catalina","22455"
"Santa Catalina","22456"
"Santa Catalina","22457"
"Santa Catalina","22458"
"Santa Catalina","22459"
"Santa Catalina","22694"
"Santa Catalina","22695"
"Santa Catalina","22696"
"Santa Catalina","22697"
"Santa Catalina","22698"
"Santa Catalina","22699"
"Santa Catalina","22700"
"Santa Catalina","22701"
"Santa Catalina","22702"
"Santa Catalina","22703"
"Santa Catalina","22704"
"Santa Catalina","22705"
"Santa Catalina","22706"
"Santa Catalina","22707"
"Santa Catalina","22708"
"Santa Catalina","22709"
"Santa Catalina","22954"
"Santa Catalina","22955"
"Santa Catalina","22956"
"Santa Catalina","22957"
"Santa Catalina","22958"
"Santa Catalina","23205"
"Santa Catalina","23206"
"Santa Catalina","23207"
"Santa Catalina","23208"
"San Clemente","30681"
"San Clemente","30682"
"San Clemente","30683"
"San Clemente","30684"
"San Clemente","30931"
"San Clemente","30932"
"San Clemente","30933"
"San Clemente","30934"
"San Clemente","30935"
"San Clemente","31181"
"San Clemente","31182"
"San Clemente","31183"
"San Clemente","31184"
"San Clemente","31185"
"San Clemente","31433"
"San Clemente","31434"
"San Clemente","31435"
"San Clemente","31436"
"San Clemente","31683"
"San Clemente","31684"
"San Clemente","31685"
"San Clemente","31686"
"San Clemente","31687"
"San Clemente","31933"
"San Clemente","31934"
"San Clemente","31935"
"San Clemente","31936"
"San Clemente","31937"
"San Clemente","32184"
"San Clemente","32185"
"San Clemente","32186"
"San Clemente","32187"
"San Clemente","32188"
"San Clemente","32434"
"San Clemente","32435"
"San Clemente","32436"
"San Clemente","32437"
"San Clemente","32438"
"San Clemente","32439"
"San Clemente","32684"
"San Clemente","32685"
"San Clemente","32686"
"San Clemente","32687"
"San Clemente","32688"
"San Clemente","32689"
"San Clemente","32690"
"San Clemente","32935"
"San Clemente","32936"
"San Clemente","32937"
"San Clemente","32938"
"San Clemente","32939"
"San Clemente","32940"
"San Clemente","33186"
"San Clemente","33187"
"San Clemente","33188"
"San Clemente","33189"
"San Clemente","33190"
"San Clemente","33191"
"San Clemente","33436"
"San Clemente","33437"
"San Clemente","33438"
"San Clemente","33439"
"San Clemente","33440"
"San Clemente","33441"
"San Clemente","33442"
"San Clemente","33687"
"San Clemente","33688"
"San Clemente","33689"
"San Clemente","33690"
"San Clemente","33691"
"San Clemente","33692"
"San Clemente","33693"
"San Clemente","33937"
"San Clemente","33938"
"San Clemente","33939"
"San Clemente","33940"
"San Clemente","33941"
"San Clemente","33942"
"San Clemente","33943"
"San Clemente","33944"
"San Clemente","33945"
"San Clemente","34187"
"San Clemente","34188"
"San Clemente","34189"
"San Clemente","34190"
"San Clemente","34191"
"San Clemente","34192"
"San Clemente","34193"
"San Clemente","34194"
"San Clemente","34195"
"San Clemente","34196"
"San Clemente","34438"
"San Clemente","34439"
"San Clemente","34440"
"San Clemente","34441"
"San Clemente","34442"
"San Clemente","34443"
"San Clemente","34444"
"San Clemente","34445"
"San Clemente","34446"
"San Clemente","34447"
"San Clemente","34689"
"San Clemente","34690"
"San Clemente","34691"
"San Clemente","34692"
"San Clemente","34693"
"San Clemente","34694"
"San Clemente","34695"
"San Clemente","34696"
"San Clemente","34697"
"San Clemente","34698"
"San Clemente","34940"
"San Clemente","34941"
"San Clemente","34942"
"San Clemente","34943"
"San Clemente","34944"
"San Clemente","34945"
"San Clemente","34946"
"San Clemente","34947"
"San Clemente","34948"
"San Clemente","34949"
"San Clemente","35190"
"San Clemente","35191"
"San Clemente","35192"
"San Clemente","35193"
"San Clemente","35194"
"San Clemente","35195"
"San Clemente","35196"
"San Clemente","35197"
"San Clemente","35198"
"San Clemente","35199"
"San Clemente","35200"
"San Clemente","35441"
"San Clemente","35442"
"San Clemente","35443"
"San Clemente","35444"
"San Clemente","35445"
"San Clemente","35446"
"San Clemente","35447"
"San Clemente","35448"
"San Clemente","35449"
"San Clemente","35450"
"San Clemente","35451"
"San Clemente","35691"
"San Clemente","35692"
"San Clemente","35693"
"San Clemente","35694"
"San Clemente","35695"
"San Clemente","35696"
"San Clemente","35697"
"San Clemente","35698"
"San Clemente","35699"
"San Clemente","35700"
"San Clemente","35701"
"San Clemente","35702"
"San Clemente","35942"
"San Clemente","35943"
"San Clemente","35944"
"San Clemente","35945"
"San Clemente","35946"
"San Clemente","35947"
"San Clemente","35948"
"San Clemente","35949"
"San Clemente","35950"
"San Clemente","35951"
"San Clemente","35952"
"San Clemente","35953"
"San Clemente","35954"
"San Clemente","36194"
"San Clemente","36195"
"San Clemente","36196"
"San Clemente","36197"
"San Clemente","36198"
"San Clemente","36199"
"San Clemente","36200"
"San Clemente","36201"
"San Clemente","36202"
"San Clemente","36203"
"San Clemente","36204"
"San Clemente","36205"
"San Clemente","36445"
"San Clemente","36446"
"San Clemente","36447"
"San Clemente","36448"
"San Clemente","36449"
"San Clemente","36450"
"San Clemente","36451"
"San Clemente","36452"
"San Clemente","36453"
"San Clemente","36454"
"San Clemente","36455"
"San Clemente","36697"
"San Clemente","36698"
"San Clemente","36699"
"San Clemente","36700"
"San Clemente","36705"
"San Clemente","36948"
"San Clemente","36949"
"San Nicolas","23842"
"San Nicolas","23843"
"San Nicolas","23844"
"San Nicolas","23845"
"San Nicolas","24090"
"San Nicolas","24091"
"San Nicolas","24092"
"San Nicolas","24093"
"San Nicolas","24094"
"San Nicolas","24095"
"San Nicolas","24096"
"San Nicolas","24097"
"San Nicolas","24340"
"San Nicolas","24341"
"San Nicolas","24342"
"San Nicolas","24343"
